time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,weathercode,windspeed_10m_max,city
2019-01-01,24.8,13.9,25.5,13.0,0.0,0.0,2.0,14.8,Nairobi
2019-01-02,25.4,14.3,26.0,13.7,0.0,0.0,3.0,15.1,Nairobi
2019-01-03,24.6,15.0,25.0,14.8,0.1,0.1,51.0,18.4,Nairobi
2019-01-04,20.8,15.3,21.7,15.6,13.5,13.5,63.0,17.2,Nairobi
2019-01-05,22.7,13.9,22.7,13.9,5.6,5.6,53.0,21.7,Nairobi
2019-01-06,23.9,13.3,24.7,12.9,1.5,1.5,55.0,17.4,Nairobi
2019-01-07,25.5,15.0,26.0,14.8,0.2,0.2,51.0,16.1,Nairobi
2019-01-08,24.0,13.8,22.1,13.7,0.0,0.0,3.0,17.6,Nairobi
2019-01-09,25.0,15.6,23.0,15.5,0.0,0.0,3.0,21.4,Nairobi
2019-01-10,24.9,14.5,24.7,13.8,0.3,0.3,51.0,15.8,Nairobi
2019-01-11,24.9,15.9,24.6,16.0,0.0,0.0,3.0,22.4,Nairobi
2019-01-12,24.7,14.3,24.0,13.3,0.0,0.0,2.0,18.9,Nairobi
2019-01-13,25.4,13.6,24.5,12.1,0.1,0.1,51.0,19.3,Nairobi
2019-01-14,25.9,13.9,25.8,13.3,0.4,0.4,51.0,19.9,Nairobi
2019-01-15,26.2,14.9,27.4,15.1,1.5,1.5,51.0,19.6,Nairobi
2019-01-16,25.4,15.5,26.7,16.2,6.8,6.8,63.0,14.2,Nairobi
2019-01-17,26.4,14.6,27.2,15.1,0.1,0.1,51.0,14.0,Nairobi
2019-01-18,25.9,15.5,25.8,14.9,0.2,0.2,51.0,15.1,Nairobi
2019-01-19,26.2,14.7,26.2,14.1,0.0,0.0,1.0,15.2,Nairobi
2019-01-20,27.6,14.3,27.3,13.9,0.0,0.0,3.0,17.1,Nairobi
2019-01-21,26.4,15.7,25.6,14.7,0.1,0.1,51.0,11.8,Nairobi
2019-01-22,27.6,14.9,28.2,13.9,0.1,0.1,51.0,15.9,Nairobi
2019-01-23,27.0,14.8,27.3,14.8,0.0,0.0,3.0,16.8,Nairobi
2019-01-24,27.2,14.7,27.4,13.8,0.0,0.0,3.0,17.1,Nairobi
2019-01-25,28.1,14.2,25.7,12.9,0.2,0.2,51.0,18.5,Nairobi
2019-01-26,27.0,13.4,25.8,12.9,0.1,0.1,51.0,19.2,Nairobi
2019-01-27,27.7,14.6,27.4,14.0,0.0,0.0,3.0,18.2,Nairobi
2019-01-28,27.4,15.0,26.3,14.2,0.0,0.0,3.0,19.1,Nairobi
2019-01-29,27.5,14.6,26.7,14.9,0.0,0.0,3.0,17.8,Nairobi
2019-01-30,27.9,13.5,26.6,12.7,0.0,0.0,3.0,18.9,Nairobi
2019-01-31,28.6,14.1,27.8,13.8,0.0,0.0,2.0,18.1,Nairobi
2019-02-01,27.3,16.3,26.1,15.3,0.3,0.3,51.0,20.1,Nairobi
2019-02-02,29.4,12.9,27.2,11.3,0.0,0.0,3.0,18.2,Nairobi
2019-02-03,29.9,13.6,29.1,12.3,0.0,0.0,1.0,19.4,Nairobi
2019-02-04,29.0,15.9,28.3,14.4,0.1,0.1,51.0,19.9,Nairobi
