event_date,country_code,total_views,total_view_minutes,demand_level,temperature_2m_max,precipitation_sum,is_rainy,rolling_7day_avg,dynamic_price,dynamic_revenue
2024-04-01,AE,2,91.63333333333334,High,26.3,0.0,0,1.7142857142857142,598.8,0.0
2024-04-15,AE,2,92.01666666666667,High,31.5,0.0,0,1.7142857142857142,598.8,0.0
2024-11-05,AE,2,91.98333333333333,High,33.9,0.0,0,1.7142857142857142,598.8,0.0
2024-12-27,AE,1,0.0,Medium,27.5,0.0,0,1.5714285714285714,548.9000000000001,0.0
2024-12-28,AE,1,106.41666666666667,High,27.2,0.0,0,1.5714285714285714,598.8,0.0
2025-02-04,AE,3,0.0,Medium,23.0,0.0,0,1.8571428571428572,548.9000000000001,0.0
2025-02-05,AE,6,0.0,Medium,23.7,0.0,0,2.4285714285714284,548.9000000000001,0.0
2025-02-06,AE,5,0.0,Medium,28.1,0.0,0,2.857142857142857,548.9000000000001,0.0
2025-02-07,AE,3,0.0,Medium,28.1,0.0,0,3.0,548.9000000000001,0.0
2025-02-08,AE,2,0.0,Medium,26.8,0.0,0,3.0,548.9000000000001,0.0
2025-02-09,AE,2,0.0,Medium,22.9,0.0,0,3.142857142857143,548.9000000000001,0.0
2025-02-10,AE,10,0.0,Medium,21.7,0.0,0,4.428571428571429,548.9000000000001,0.0
2025-02-12,AE,2,0.0,Medium,28.1,0.0,0,4.285714285714286,548.9000000000001,0.0
2025-02-14,AE,3,0.0,Medium,27.8,0.0,0,3.857142857142857,548.9000000000001,0.0
2025-02-15,AE,1,0.0,Medium,24.8,0.0,0,3.2857142857142856,548.9000000000001,0.0
2025-02-17,AE,8,0.0,Medium,28.0,1.8,1,4.0,548.9000000000001,0.0
2025-02-18,AE,5,0.0,Medium,26.4,1.2,1,4.428571428571429,548.9000000000001,0.0
2025-05-26,AE,4,14.466666666666665,Medium,41.9,0.0,0,4.714285714285714,548.9000000000001,0.0
2025-05-27,AE,2,83.13333333333334,High,36.3,0.0,0,3.5714285714285716,598.8,0.0
2025-06-01,AE,1,0.0,Medium,38.0,0.0,0,3.4285714285714284,548.9000000000001,0.0
2025-06-12,AE,2,42.983333333333334,Medium,42.5,0.0,0,3.2857142857142856,548.9000000000001,0.0
2019-09-19,KE,1,12.133333333333333,Medium,26.2,0.0,0,1.2857142857142858,548.9000000000001,0.0
2019-09-26,KE,2,15.666666666666666,Medium,23.1,31.7,1,1.4285714285714286,548.9000000000001,0.0
2019-09-27,KE,2,61.86666666666667,High,22.3,6.7,1,1.5714285714285714,598.8,0.0
2019-09-28,KE,1,0.0,Medium,25.9,0.9,0,1.5714285714285714,548.9000000000001,0.0
2019-09-29,KE,1,0.0,Medium,26.6,0.2,0,1.4285714285714286,548.9000000000001,0.0
2019-09-30,KE,5,135.28333333333333,High,28.8,1.2,1,2.0,598.8,0.0
2019-10-05,KE,3,59.016666666666666,Medium,23.1,11.3,1,2.142857142857143,548.9000000000001,0.0
2019-10-09,KE,1,0.0,Medium,22.8,18.0,1,2.142857142857143,548.9000000000001,0.0
2019-10-12,KE,1,0.0,Medium,24.5,20.4,1,2.0,548.9000000000001,0.0
2019-10-13,KE,19,96.33333333333333,High,22.5,9.1,1,4.428571428571429,598.8,0.0
2019-10-14,KE,6,89.73333333333333,High,24.2,7.6,1,5.142857142857143,598.8,0.0
2019-10-15,KE,2,97.7,High,24.8,3.2,1,5.285714285714286,598.8,0.0
2019-10-16,KE,4,90.53333333333333,High,24.2,2.2,1,5.142857142857143,598.8,0.0
2019-10-18,KE,2,95.41666666666667,High,22.6,21.5,1,5.0,598.8,0.0
2019-10-19,KE,9,223.06666666666666,High,20.1,59.5,1,6.142857142857143,598.8,0.0
2019-10-20,KE,2,60.13333333333333,Medium,24.3,11.0,1,6.285714285714286,548.9000000000001,0.0
2019-10-21,KE,1,44.43333333333333,Medium,24.6,14.9,1,3.7142857142857144,548.9000000000001,0.0
2019-10-23,KE,3,71.15,High,22.8,23.5,1,3.2857142857142856,598.8,0.0
2019-10-24,KE,1,1.5166666666666666,Medium,23.0,63.1,1,3.142857142857143,548.9000000000001,0.0
2019-10-26,KE,7,41.483333333333334,Medium,21.6,21.2,1,3.5714285714285716,548.9000000000001,0.0
2019-10-28,KE,2,41.53333333333333,Medium,23.4,6.3,1,3.5714285714285716,548.9000000000001,0.0
2019-10-30,KE,1,0.0,Medium,22.2,13.4,1,2.4285714285714284,548.9000000000001,0.0
2019-11-02,KE,1,0.0,Medium,23.7,2.8,1,2.2857142857142856,548.9000000000001,0.0
2019-11-03,KE,5,153.66666666666666,High,23.6,5.2,1,2.857142857142857,598.8,0.0
2019-11-05,KE,2,59.016666666666666,Medium,24.7,0.2,0,2.7142857142857144,548.9000000000001,0.0
2019-11-06,KE,4,62.53333333333333,High,25.2,2.5,1,3.142857142857143,598.8,0.0
2019-11-07,KE,4,86.3,High,24.6,13.3,1,2.7142857142857144,598.8,0.0
2019-11-08,KE,2,53.516666666666666,Medium,23.4,17.7,1,2.7142857142857144,548.9000000000001,0.0
2019-11-09,KE,2,61.166666666666664,High,24.4,4.6,1,2.857142857142857,598.8,0.0
2019-11-14,KE,13,0.7,Medium,21.3,11.5,1,4.571428571428571,548.9000000000001,0.0
2019-11-16,KE,2,35.7,Medium,24.4,1.2,1,4.142857142857143,548.9000000000001,0.0
2019-11-17,KE,3,0.0,Medium,24.2,2.2,1,4.285714285714286,548.9000000000001,0.0
2019-11-18,KE,1,61.666666666666664,High,23.8,3.2,1,3.857142857142857,598.8,0.0
2019-11-19,KE,5,62.83333333333333,High,24.0,16.8,1,4.0,598.8,0.0
2019-11-26,KE,2,75.66666666666667,High,22.0,24.2,1,4.0,598.8,0.0
2019-11-30,KE,6,62.61666666666667,High,20.4,32.2,1,4.571428571428571,598.8,0.0
2019-12-01,KE,2,71.03333333333333,High,21.8,17.0,1,3.0,598.8,0.0
2019-12-02,KE,1,0.0,Medium,22.2,14.7,1,2.857142857142857,548.9000000000001,0.0
2019-12-06,KE,2,13.516666666666667,Medium,23.4,5.4,1,2.7142857142857144,548.9000000000001,0.0
2019-12-07,KE,2,6.033333333333333,Medium,22.8,6.1,1,2.857142857142857,548.9000000000001,0.0
2019-12-14,KE,4,83.66666666666666,High,22.4,4.8,1,2.7142857142857144,598.8,0.0
2019-12-15,KE,26,98.98333333333333,High,22.9,2.8,1,6.142857142857143,598.8,0.0
2019-12-16,KE,2,71.03333333333333,High,23.9,4.0,1,5.571428571428571,598.8,0.0
2019-12-19,KE,4,141.61666666666667,High,23.6,0.4,0,5.857142857142857,598.8,0.0
2019-12-23,KE,2,109.56666666666666,High,23.4,3.1,1,6.0,598.8,0.0
2019-12-24,KE,4,179.83333333333334,High,23.2,34.3,1,6.285714285714286,598.8,0.0
2019-12-25,KE,1,0.0,Medium,23.6,7.4,1,6.142857142857143,548.9000000000001,0.0
2019-12-26,KE,4,94.0,High,23.7,13.9,1,6.142857142857143,598.8,0.0
2019-12-27,KE,8,0.0,Medium,24.6,2.5,1,3.5714285714285716,548.9000000000001,0.0
2019-12-29,KE,2,89.78333333333333,High,23.1,3.4,1,3.5714285714285716,598.8,0.0
2020-01-02,KE,1,4.783333333333333,Medium,23.3,0.9,0,3.142857142857143,548.9000000000001,0.0
2020-01-04,KE,2,61.666666666666664,High,23.1,2.4,1,3.142857142857143,598.8,0.0
2020-01-05,KE,2,0.0,Medium,25.2,0.0,0,2.857142857142857,548.9000000000001,0.0
2020-01-09,KE,5,156.33333333333331,High,23.1,2.9,1,3.4285714285714284,598.8,0.0
2020-01-10,KE,1,47.666666666666664,Medium,24.8,1.7,1,3.0,548.9000000000001,0.0
2020-01-11,KE,8,0.0,Medium,25.3,1.0,0,3.0,548.9000000000001,0.0
2020-01-12,KE,7,165.0,High,24.1,8.1,1,3.7142857142857144,598.8,0.0
2020-01-14,KE,1,0.0,Medium,23.5,8.4,1,3.7142857142857144,548.9000000000001,0.0
2020-01-18,KE,2,46.61666666666667,Medium,24.4,2.6,1,3.7142857142857144,548.9000000000001,0.0
2020-01-19,KE,6,226.10000000000002,High,24.0,1.7,1,4.285714285714286,598.8,0.0
2020-01-22,KE,4,196.71666666666667,High,24.9,0.5,0,4.142857142857143,598.8,0.0
2020-01-26,KE,2,7.016666666666667,Medium,21.2,20.1,1,4.285714285714286,548.9000000000001,0.0
2020-01-27,KE,1,0.0,Medium,19.9,15.2,1,3.2857142857142856,548.9000000000001,0.0
2020-01-29,KE,1,0.0,Medium,23.7,18.3,1,2.4285714285714284,548.9000000000001,0.0
2020-01-30,KE,1,85.66666666666667,High,23.3,9.4,1,2.4285714285714284,598.8,0.0
2020-02-02,KE,1,0.0,Medium,23.2,8.1,1,2.2857142857142856,548.9000000000001,0.0
2020-02-04,KE,26,0.0,Medium,24.4,1.5,1,5.142857142857143,548.9000000000001,0.0
2020-02-08,KE,4,215.83333333333334,High,24.4,0.4,0,5.142857142857143,598.8,0.0
2020-02-09,KE,5,167.75,High,24.4,0.2,0,5.571428571428571,598.8,0.0
2020-02-12,KE,2,119.66666666666667,High,25.9,0.3,0,5.714285714285714,598.8,0.0
2020-02-13,KE,3,119.66666666666667,High,24.2,18.9,1,6.0,598.8,0.0
2020-02-14,KE,8,341.48333333333335,High,23.2,2.7,1,7.0,598.8,0.0
2020-02-15,KE,18,648.6333333333333,High,22.9,4.8,1,9.428571428571429,598.8,0.0
2020-02-16,KE,249,10714.516666666666,High,22.8,5.9,1,41.285714285714285,598.8,1197.6
2020-02-17,KE,90,4191.666666666667,High,24.8,3.0,1,53.57142857142857,598.8,0.0
2020-02-18,KE,92,3956.616666666667,High,24.6,4.5,1,66.0,598.8,0.0
2020-02-19,KE,65,2464.9,High,24.2,2.0,1,75.0,598.8,0.0
2020-02-20,KE,52,2058.0833333333335,High,25.7,0.9,0,82.0,598.8,0.0
2020-02-21,KE,80,3274.7000000000003,High,25.3,12.9,1,92.28571428571429,598.8,0.0
2020-02-22,KE,69,3231.8,High,25.0,2.9,1,99.57142857142857,598.8,0.0
2020-02-23,KE,43,1948.45,High,24.8,2.3,1,70.14285714285714,598.8,0.0
2020-02-24,KE,23,1050.05,High,24.6,2.2,1,60.57142857142857,598.8,0.0
2020-02-25,KE,13,527.8333333333334,High,26.6,2.0,1,49.285714285714285,598.8,0.0
2020-02-26,KE,18,829.1333333333333,High,25.9,4.3,1,42.57142857142857,598.8,0.0
2020-02-27,KE,11,503.26666666666665,High,24.6,58.9,1,36.714285714285715,598.8,0.0
2020-02-28,KE,11,415.1,High,25.4,3.9,1,26.857142857142858,598.8,0.0
2020-02-29,KE,22,1084.65,High,26.6,0.2,0,20.142857142857142,598.8,0.0
2020-03-01,KE,15,730.4833333333333,High,26.7,2.3,1,16.142857142857142,598.8,0.0
2020-03-02,KE,14,317.25,High,24.4,16.5,1,14.857142857142858,598.8,0.0
2020-03-03,KE,11,616.0500000000001,High,24.4,5.9,1,14.571428571428571,598.8,0.0
2020-03-04,KE,5,174.76666666666665,High,25.3,3.2,1,12.714285714285714,598.8,0.0
2020-03-05,KE,22,914.1,High,26.3,18.3,1,14.285714285714286,598.8,0.0
2020-03-06,KE,13,603.7666666666667,High,26.8,0.0,0,14.571428571428571,598.8,0.0
2020-03-07,KE,9,178.91666666666666,High,26.0,38.9,1,12.714285714285714,598.8,0.0
2020-03-08,KE,8,318.9,High,24.4,2.7,1,11.714285714285714,598.8,0.0
2020-03-09,KE,8,373.3166666666667,High,24.7,34.6,1,10.857142857142858,598.8,0.0
2020-03-10,KE,9,421.70000000000005,High,24.7,3.2,1,10.571428571428571,598.8,0.0
2020-03-11,KE,1,0.0,Medium,24.7,16.0,1,10.0,548.9000000000001,0.0
2020-03-12,KE,8,414.0,High,24.5,5.8,1,8.0,598.8,0.0
2020-03-13,KE,7,406.0,High,25.1,2.0,1,7.142857142857143,598.8,0.0
2020-03-14,KE,10,513.95,High,24.6,3.3,1,7.285714285714286,598.8,0.0
2020-03-15,KE,16,810.25,High,26.3,2.4,1,8.428571428571429,598.8,0.0
2020-03-16,KE,12,545.9166666666667,High,25.9,1.0,0,9.0,598.8,0.0
2020-03-17,KE,13,578.9666666666667,High,24.8,4.0,1,9.571428571428571,598.8,0.0
2020-03-18,KE,19,819.9166666666667,High,23.8,40.2,1,12.142857142857142,598.8,0.0
2020-03-19,KE,41,1707.8166666666666,High,23.6,5.7,1,16.857142857142858,598.8,0.0
2020-03-20,KE,30,1204.15,High,22.5,9.8,1,20.142857142857142,598.8,0.0
2020-03-21,KE,15,503.8333333333333,High,24.6,17.3,1,20.857142857142858,598.8,0.0
2020-03-22,KE,43,1982.65,High,24.4,2.7,1,24.714285714285715,598.8,0.0
2020-03-23,KE,27,1224.0833333333333,High,23.7,7.5,1,26.857142857142858,598.8,0.0
2020-03-24,KE,34,1401.3666666666668,High,24.4,5.9,1,29.857142857142858,598.8,0.0
